"subjID","Mag","Val","Info","infoType","cond1","cond2","choice","ACC","outAbs","outRel","out_c_abs","out_c_rel"
55,"low","negative",NA,1,4,4,2,1,0,1,0,1
55,"low","positive",NA,1,2,2,1,0,0,0,0,0
55,"high","positive","partial",0,1,1,1,0,0,0,1,1
55,"high","negative","partial",0,3,3,2,1,0,1,0,1
55,"low","positive",NA,1,2,2,1,0,0,0,0.1,1
55,"high","negative","partial",0,3,3,2,1,0,1,-1,0
55,"high","positive","partial",0,1,1,2,1,0,0,0,0
55,"low","positive",NA,1,2,2,2,1,0.1,1,0,0
55,"high","negative","partial",0,3,3,1,0,-1,0,0,1
55,"low","negative",NA,1,4,4,1,0,-0.1,0,0,1
55,"low","negative",NA,1,4,4,2,1,0,1,-0.1,0
55,"low","negative",NA,1,4,4,2,1,-0.1,0,-0.1,0
55,"high","negative","partial",0,3,3,1,0,-1,0,-1,0
55,"low","positive",NA,1,2,2,2,1,0.1,1,0.1,1
55,"high","positive","partial",0,1,1,2,1,1,1,1,1
55,"high","positive","partial",0,1,1,2,1,1,1,0,0
55,"high","positive","partial",0,1,1,2,1,1,1,0,0
55,"low","positive",NA,1,2,2,2,1,0.1,1,0,0
55,"low","positive",NA,1,2,2,2,1,0.1,1,0,0
55,"high","positive","partial",0,1,1,2,1,1,1,0,0
55,"high","negative","partial",0,3,3,2,1,0,1,-1,0
55,"low","positive",NA,1,2,2,1,0,0.1,1,0.1,1
55,"low","negative",NA,1,4,4,2,1,-0.1,0,0,1
55,"low","negative",NA,1,4,4,2,1,0,1,-0.1,0
55,"low","negative",NA,1,4,4,2,1,0,1,-0.1,0
55,"high","negative","partial",0,3,3,2,1,-1,0,0,1
55,"low","negative",NA,1,4,4,2,1,0,1,-0.1,0
55,"high","negative","partial",0,3,3,1,0,-1,0,0,1
55,"high","negative","partial",0,3,3,1,0,-1,0,0,1
55,"low","positive",NA,1,2,2,2,1,0,0,0,0
55,"high","positive","partial",0,1,1,2,1,1,1,1,1
55,"high","positive","partial",0,1,1,2,1,0,0,0,0
55,"low","positive",NA,1,2,2,1,0,0,0,0.1,1
55,"low","positive",NA,1,2,2,1,0,0,0,0.1,1
55,"low","negative",NA,1,4,4,1,0,-0.1,0,0,1
55,"high","negative","partial",0,3,3,2,1,-1,0,-1,0
55,"high","positive","partial",0,1,1,2,1,1,1,0,0
55,"low","negative",NA,1,4,4,2,1,0,1,-0.1,0
55,"high","negative","partial",0,3,3,2,1,0,1,-1,0
55,"high","positive","partial",0,1,1,2,1,1,1,0,0
55,"high","negative","partial",0,3,3,2,1,0,1,-1,0
55,"low","negative",NA,1,4,4,2,1,0,1,-0.1,0
55,"low","negative",NA,1,4,4,2,1,-0.1,0,0,1
55,"high","positive","partial",0,1,1,2,1,1,1,1,1
55,"high","positive","partial",0,1,1,2,1,0,0,0,0
